"basic_level" "freq" "child" "coder" "visit"
"couch" "1" "03" "EB" "06"
"covers" "1" "03" "EB" "06"
"crank" "1" "03" "EB" "06"
"crib" "1" "03" "EB" "06"
"cupcake" "1" "03" "EB" "06"
"curb" "1" "03" "EB" "06"
"Curious+George's+Train" "1" "03" "EB" "06"
"cutting+board" "1" "03" "EB" "06"
"d" "1" "03" "EB" "06"
"digger" "1" "03" "EB" "06"
"dipper+stick" "1" "03" "EB" "06"
"doll+house" "1" "03" "EB" "06"
"dryer" "1" "03" "EB" "06"
"dumpster" "1" "03" "EB" "06"
"e" "1" "03" "EB" "06"
"ear" "1" "03" "EB" "06"
"eggshells" "1" "03" "EB" "06"
"eight" "1" "03" "EB" "06"
"eyes" "1" "03" "EB" "06"
"f" "1" "03" "EB" "06"
"fan" "1" "03" "EB" "06"
"fence" "1" "03" "EB" "06"
"fiddle" "1" "03" "EB" "06"
"fingernail" "1" "03" "EB" "06"
"fire" "1" "03" "EB" "06"
"five" "1" "03" "EB" "06"
"flashlight" "1" "03" "EB" "06"
"four" "1" "03" "EB" "06"
"g" "1" "03" "EB" "06"
"galaxy" "1" "03" "EB" "06"
"gas+pedal" "1" "03" "EB" "06"
"gear" "1" "03" "EB" "06"
"ghost" "1" "03" "EB" "06"
"glass" "1" "03" "EB" "06"
"God+Made+Light" "1" "03" "EB" "06"
"gum" "1" "03" "EB" "06"
"h" "1" "03" "EB" "06"
"hair+tie" "1" "03" "EB" "06"
"Happy+Hippo+Angry+Duck" "1" "03" "EB" "06"
"heart" "1" "03" "EB" "06"
"high+chair" "1" "03" "EB" "06"
"hippo" "1" "03" "EB" "06"
"hole" "1" "03" "EB" "06"
"hoover" "1" "03" "EB" "06"
"hot+dog" "1" "03" "EB" "06"
"i" "1" "03" "EB" "06"
"I'm+Dirty" "1" "03" "EB" "06"
"I+Stink" "1" "03" "EB" "06"
"ice" "1" "03" "EB" "06"
"icicle" "1" "03" "EB" "06"
"j" "1" "03" "EB" "06"
"jammies" "1" "03" "EB" "06"
"k" "1" "03" "EB" "06"
"kitty+litter" "1" "03" "EB" "06"
"l" "1" "03" "EB" "06"
"lamb" "1" "03" "EB" "06"
"lawn" "1" "03" "EB" "06"
"lawnchair" "1" "03" "EB" "06"
"Listen+To+The+Wind" "1" "03" "EB" "06"
"lobster" "1" "03" "EB" "06"
"m" "1" "03" "EB" "06"
"Madeline" "1" "03" "EB" "06"
"marble" "1" "03" "EB" "06"
"meatball" "1" "03" "EB" "06"
"mud+bath" "1" "03" "EB" "06"
"mud+cake" "1" "03" "EB" "06"
"mud+pie" "1" "03" "EB" "06"
"n" "1" "03" "EB" "06"
"necktie" "1" "03" "EB" "06"
"needle" "1" "03" "EB" "06"
"nine" "1" "03" "EB" "06"
"Noisy+Train" "1" "03" "EB" "06"
"note" "1" "03" "EB" "06"
"o" "1" "03" "EB" "06"
"one" "1" "03" "EB" "06"
"One+Mitten" "1" "03" "EB" "06"
"orange" "1" "03" "EB" "06"
"p" "1" "03" "EB" "06"
"page" "1" "03" "EB" "06"
"pants" "1" "03" "EB" "06"
"pencil" "1" "03" "EB" "06"
"pie" "1" "03" "EB" "06"
"Piglet+Hears+An+Echo" "1" "03" "EB" "06"
"pin" "1" "03" "EB" "06"
"piston" "1" "03" "EB" "06"
"ponytail" "1" "03" "EB" "06"
"poo" "1" "03" "EB" "06"
"poop" "1" "03" "EB" "06"
"q" "1" "03" "EB" "06"
"quail" "1" "03" "EB" "06"
"r" "1" "03" "EB" "06"
"radish" "1" "03" "EB" "06"
"ram" "1" "03" "EB" "06"
"ramp" "1" "03" "EB" "06"
"reindeer" "1" "03" "EB" "06"
"s" "1" "03" "EB" "06"
"sack" "1" "03" "EB" "06"
"sand" "1" "03" "EB" "06"
"scar" "1" "03" "EB" "06"
"seahorse" "1" "03" "EB" "06"
"seat" "1" "03" "EB" "06"
"seven" "1" "03" "EB" "06"
"shadow" "1" "03" "EB" "06"
"sheet" "1" "03" "EB" "06"
"six" "1" "03" "EB" "06"
"skunk" "1" "03" "EB" "06"
"sky" "1" "03" "EB" "06"
"slide" "1" "03" "EB" "06"
"snail" "1" "03" "EB" "06"
"sneakers" "1" "03" "EB" "06"
"snow+children" "1" "03" "EB" "06"
"snow+cones" "1" "03" "EB" "06"
"Snowmen+At+Christmas" "1" "03" "EB" "06"
"socks" "1" "03" "EB" "06"
"soup" "1" "03" "EB" "06"
"sprinkles" "1" "03" "EB" "06"
"stack" "1" "03" "EB" "06"
"stairs" "1" "03" "EB" "06"
"steel" "1" "03" "EB" "06"
"steering+wheel" "1" "03" "EB" "06"
"stopper" "1" "03" "EB" "06"
"strawberry" "1" "03" "EB" "06"
"street" "1" "03" "EB" "06"
"t" "1" "03" "EB" "06"
"t-shirt" "1" "03" "EB" "06"
"tea" "1" "03" "EB" "06"
"ten" "1" "03" "EB" "06"
"tent" "1" "03" "EB" "06"
"thread" "1" "03" "EB" "06"
"three" "1" "03" "EB" "06"
"ticket" "1" "03" "EB" "06"
"tiger" "1" "03" "EB" "06"
"tissue" "1" "03" "EB" "06"
"toe" "1" "03" "EB" "06"
"toilet+seat" "1" "03" "EB" "06"
"toothpaste" "1" "03" "EB" "06"
"towel" "1" "03" "EB" "06"
"trailer" "1" "03" "EB" "06"
"trash" "1" "03" "EB" "06"
"turkey" "1" "03" "EB" "06"
"two" "1" "03" "EB" "06"
"u" "1" "03" "EB" "06"
"umbrella" "1" "03" "EB" "06"
"underpants" "1" "03" "EB" "06"
"universe" "1" "03" "EB" "06"
"v" "1" "03" "EB" "06"
"vase" "1" "03" "EB" "06"
"vine" "1" "03" "EB" "06"
"w" "1" "03" "EB" "06"
"walker" "1" "03" "EB" "06"
"washing+machine" "1" "03" "EB" "06"
"water" "1" "03" "EB" "06"
"We're+Going+On+A+Bear+Hunt" "1" "03" "EB" "06"
"wheel" "1" "03" "EB" "06"
"whistle" "1" "03" "EB" "06"
"wipe" "1" "03" "EB" "06"
"woods" "1" "03" "EB" "06"
"worm" "1" "03" "EB" "06"
"x" "1" "03" "EB" "06"
"y" "1" "03" "EB" "06"
"z" "1" "03" "EB" "06"
"zebra" "1" "03" "EB" "06"
"ziti" "1" "03" "EB" "06"
"zucchini" "1" "03" "EB" "06"
