"basic_level" "freq" "child" "coder" "visit"
"mitten" "21" "03" "EB" "06"
"bear" "17" "03" "EB" "06"
"dog" "13" "03" "EB" "06"
"ball" "12" "03" "EB" "06"
"nose" "11" "03" "EB" "06"
"snow" "11" "03" "EB" "06"
"light" "10" "03" "EB" "06"
"snowman" "10" "03" "EB" "06"
"diaper" "9" "03" "EB" "06"
"carrot" "8" "03" "EB" "06"
"train" "8" "03" "EB" "06"
"bed" "7" "03" "EB" "06"
"gift" "7" "03" "EB" "06"
"river" "7" "03" "EB" "06"
"applesauce" "6" "03" "EB" "06"
"sun" "6" "03" "EB" "06"
"tree" "6" "03" "EB" "06"
"vest" "6" "03" "EB" "06"
"bridge" "5" "03" "EB" "06"
"door" "5" "03" "EB" "06"
"fish" "5" "03" "EB" "06"
"grass" "5" "03" "EB" "06"
"mountain" "5" "03" "EB" "06"
"muffin" "5" "03" "EB" "06"
"pinata" "5" "03" "EB" "06"
"stick" "5" "03" "EB" "06"
"arm" "4" "03" "EB" "06"
"bag" "4" "03" "EB" "06"
"book" "4" "03" "EB" "06"
"bucket" "4" "03" "EB" "06"
"chicken" "4" "03" "EB" "06"
"eye" "4" "03" "EB" "06"
"hand" "4" "03" "EB" "06"
"ice+cream" "4" "03" "EB" "06"
"moose" "4" "03" "EB" "06"
"mud" "4" "03" "EB" "06"
"pecan" "4" "03" "EB" "06"
"pig" "4" "03" "EB" "06"
"star" "4" "03" "EB" "06"
"tooth" "4" "03" "EB" "06"
"button" "3" "03" "EB" "06"
"cat" "3" "03" "EB" "06"
"cave" "3" "03" "EB" "06"
"cow" "3" "03" "EB" "06"
"duck" "3" "03" "EB" "06"
"eggplant" "3" "03" "EB" "06"
"engine" "3" "03" "EB" "06"
"face" "3" "03" "EB" "06"
"flower" "3" "03" "EB" "06"
"foot" "3" "03" "EB" "06"
"forest" "3" "03" "EB" "06"
"frog" "3" "03" "EB" "06"
"garbage+truck" "3" "03" "EB" "06"
"gums" "3" "03" "EB" "06"
"horse" "3" "03" "EB" "06"
"mouse" "3" "03" "EB" "06"
"pool" "3" "03" "EB" "06"
"present" "3" "03" "EB" "06"
"rabbit" "3" "03" "EB" "06"
"school" "3" "03" "EB" "06"
"truck" "3" "03" "EB" "06"
"backhoe" "2" "03" "EB" "06"
"bath" "2" "03" "EB" "06"
"blade" "2" "03" "EB" "06"
"brakes" "2" "03" "EB" "06"
"bread" "2" "03" "EB" "06"
"cake" "2" "03" "EB" "06"
"car" "2" "03" "EB" "06"
"clothes" "2" "03" "EB" "06"
"dirt" "2" "03" "EB" "06"
"donkey" "2" "03" "EB" "06"
"field" "2" "03" "EB" "06"
"firefly" "2" "03" "EB" "06"
"garage" "2" "03" "EB" "06"
"hair" "2" "03" "EB" "06"
"hat" "2" "03" "EB" "06"
"head" "2" "03" "EB" "06"
"holly" "2" "03" "EB" "06"
"house" "2" "03" "EB" "06"
"jam" "2" "03" "EB" "06"
"jar" "2" "03" "EB" "06"
"lion" "2" "03" "EB" "06"
"moon" "2" "03" "EB" "06"
"movie" "2" "03" "EB" "06"
"phone" "2" "03" "EB" "06"
"puppet" "2" "03" "EB" "06"
"puzzle" "2" "03" "EB" "06"
"sheep" "2" "03" "EB" "06"
"stump" "2" "03" "EB" "06"
"sweater" "2" "03" "EB" "06"
"tailgate" "2" "03" "EB" "06"
"tire" "2" "03" "EB" "06"
"tracks" "2" "03" "EB" "06"
"watermelon" "2" "03" "EB" "06"
"window" "2" "03" "EB" "06"
"a" "1" "03" "EB" "06"
"apple" "1" "03" "EB" "06"
"avenue" "1" "03" "EB" "06"
"b" "1" "03" "EB" "06"
"back" "1" "03" "EB" "06"
"banana" "1" "03" "EB" "06"
"barbecue" "1" "03" "EB" "06"
"barge" "1" "03" "EB" "06"
"bell" "1" "03" "EB" "06"
"bicycle" "1" "03" "EB" "06"
"bike" "1" "03" "EB" "06"
"bird" "1" "03" "EB" "06"
"blackberry" "1" "03" "EB" "06"
"blanket" "1" "03" "EB" "06"
"box" "1" "03" "EB" "06"
"bunny" "1" "03" "EB" "06"
"bus" "1" "03" "EB" "06"
"bush" "1" "03" "EB" "06"
"c" "1" "03" "EB" "06"
"candy" "1" "03" "EB" "06"
"candy+wrapper" "1" "03" "EB" "06"
"candycanes" "1" "03" "EB" "06"
"castle" "1" "03" "EB" "06"
"ceiling" "1" "03" "EB" "06"
"chick" "1" "03" "EB" "06"
"chompers" "1" "03" "EB" "06"
"christmas+tree" "1" "03" "EB" "06"
"Clifford" "1" "03" "EB" "06"
"clover" "1" "03" "EB" "06"
"cocoa" "1" "03" "EB" "06"
"constellation" "1" "03" "EB" "06"
"cookie" "1" "03" "EB" "06"
